Bus,Month,Route,end,start,type
6,August,3,2018-08-17 19:50,2018-08-17 18:50,running
6,August,3,2018-08-17 20:50,2018-08-17 19:50,running
6,August,3,2018-08-17 21:20,2018-08-17 20:50,charging
6,August,3,2018-08-17 23:40,2018-08-17 22:40,running
7,August,3,2018-08-17 08:00,2018-08-17 07:00,running
7,August,3,2018-08-17 09:10,2018-08-17 08:10,running
7,August,3,2018-08-17 10:20,2018-08-17 09:20,running
7,August,3,2018-08-17 12:00,2018-08-17 11:00,running
7,August,3,2018-08-17 14:20,2018-08-17 13:20,running
7,August,3,2018-08-17 16:40,2018-08-17 15:40,running
7,August,3,2018-08-17 18:00,2018-08-17 17:00,running
7,August,3,2018-08-17 19:00,2018-08-17 18:00,running
7,August,3,2018-08-17 20:10,2018-08-17 19:10,running
7,August,3,2018-08-17 21:20,2018-08-17 20:20,running
7,August,3,2018-08-17 23:20,2018-08-17 22:20,running
7,August,3,2018-08-17 23:50,2018-08-17 23:20,charging
1,August,4,2018-08-17 06:22,2018-08-17 06:00,running
1,August,4,2018-08-17 07:22,2018-08-17 07:00,running
1,August,4,2018-08-17 08:22,2018-08-17 08:00,running
1,August,4,2018-08-17 09:22,2018-08-17 09:00,running
1,August,4,2018-08-17 10:22,2018-08-17 10:00,running
1,August,4,2018-08-17 11:52,2018-08-17 11:30,running
1,August,4,2018-08-17 13:22,2018-08-17 13:00,running
1,August,4,2018-08-17 14:52,2018-08-17 14:30,running
1,August,4,2018-08-17 16:22,2018-08-17 16:00,running
1,August,4,2018-08-17 17:22,2018-08-17 17:00,running
1,August,4,2018-08-17 18:22,2018-08-17 18:00,running
1,August,4,2018-08-17 19:22,2018-08-17 19:00,running
1,August,4,2018-08-17 19:52,2018-08-17 19:22,charging
1,August,4,2018-08-17 20:52,2018-08-17 20:30,running
1,August,4,2018-08-17 22:22,2018-08-17 22:00,running
1,August,4,2018-08-17 23:52,2018-08-17 23:30,running
2,August,4,2018-08-17 06:42,2018-08-17 06:20,running
2,August,4,2018-08-17 07:42,2018-08-17 07:20,running
2,August,4,2018-08-17 08:42,2018-08-17 08:20,running
2,August,4,2018-08-17 09:42,2018-08-17 09:20,running
2,August,4,2018-08-17 10:52,2018-08-17 10:30,running
2,August,4,2018-08-17 12:22,2018-08-17 12:00,running
2,August,4,2018-08-17 13:52,2018-08-17 13:30,running
2,August,4,2018-08-17 15:22,2018-08-17 15:00,running
2,August,4,2018-08-17 16:42,2018-08-17 16:20,running
2,August,4,2018-08-17 17:42,2018-08-17 17:20,running
2,August,4,2018-08-17 18:42,2018-08-17 18:20,running
