Bus,Month,Route,end,start,type
1,August,3,8/17/2018 15:20,8/17/2018 14:20,running
1,August,3,8/17/2018 17:20,8/17/2018 16:20,running
1,August,3,8/17/2018 18:30,8/17/2018 17:30,running
1,August,3,8/17/2018 19:30,8/17/2018 18:30,running
1,August,3,8/17/2018 20:40,8/17/2018 19:40,running
1,August,3,8/17/2018 21:10,8/17/2018 20:40,charging
1,August,3,8/17/2018 23:00,8/17/2018 22:00,running
2,August,3,8/17/2018 7:10,8/17/2018 6:10,running
2,August,3,8/17/2018 8:20,8/17/2018 7:20,running
2,August,3,8/17/2018 9:30,8/17/2018 8:30,running
2,August,3,8/17/2018 10:40,8/17/2018 9:40,running
2,August,3,8/17/2018 12:20,8/17/2018 11:20,running
2,August,3,8/17/2018 14:40,8/17/2018 13:40,running
2,August,3,8/17/2018 15:10,8/17/2018 14:40,charging
2,August,3,8/17/2018 17:10,8/17/2018 16:10,running
2,August,3,8/17/2018 18:20,8/17/2018 17:20,running
2,August,3,8/17/2018 19:20,8/17/2018 18:20,running
2,August,3,8/17/2018 20:30,8/17/2018 19:30,running
2,August,3,8/17/2018 22:20,8/17/2018 21:20,running
2,August,3,8/18/2018 0:40,8/17/2018 23:40,running
3,August,3,8/17/2018 7:20,8/17/2018 6:20,running
3,August,3,8/17/2018 8:30,8/17/2018 7:30,running
3,August,3,8/17/2018 9:40,8/17/2018 8:40,running
3,August,3,8/17/2018 10:50,8/17/2018 9:50,running
3,August,3,8/17/2018 13:20,8/17/2018 12:20,running
3,August,3,8/17/2018 15:40,8/17/2018 14:40,running
3,August,3,8/17/2018 17:30,8/17/2018 16:30,running
3,August,3,8/17/2018 18:00,8/17/2018 17:30,charging
3,August,3,8/17/2018 19:10,8/17/2018 18:10,running
3,August,3,8/17/2018 20:20,8/17/2018 19:20,running
3,August,3,8/17/2018 22:00,8/17/2018 21:00,running
3,August,3,8/18/2018 0:20,8/17/2018 23:20,running
4,August,3,8/17/2018 7:30,8/17/2018 6:30,running
4,August,3,8/17/2018 8:40,8/17/2018 7:40,running
4,August,3,8/17/2018 9:50,8/17/2018 8:50,running
4,August,3,8/17/2018 11:00,8/17/2018 10:00,running
4,August,3,8/17/2018 13:00,8/17/2018 12:00,running
4,August,3,8/17/2018 15:00,8/17/2018 14:00,running
4,August,3,8/17/2018 17:00,8/17/2018 16:00,running
4,August,3,8/17/2018 18:10,8/17/2018 17:10,running
4,August,3,8/17/2018 18:40,8/17/2018 18:10,charging
4,August,3,8/17/2018 20:00,8/17/2018 19:00,running
4,August,3,8/17/2018 21:00,8/17/2018 20:00,running
4,August,3,8/17/2018 22:40,8/17/2018 21:40,running
5,August,3,8/17/2018 7:40,8/17/2018 6:40,running
5,August,3,8/17/2018 8:50,8/17/2018 7:50,running
5,August,3,8/17/2018 10:00,8/17/2018 9:00,running
5,August,3,8/17/2018 11:20,8/17/2018 10:20,running
5,August,3,8/17/2018 13:40,8/17/2018 12:40,running
5,August,3,8/17/2018 16:00,8/17/2018 15:00,running
5,August,3,8/17/2018 17:40,8/17/2018 16:40,running
5,August,3,8/17/2018 18:40,8/17/2018 17:40,running
5,August,3,8/17/2018 19:40,8/17/2018 18:40,running
5,August,3,8/17/2018 20:10,8/17/2018 19:40,charging
5,August,3,8/17/2018 21:40,8/17/2018 20:40,running
5,August,3,8/18/2018 0:00,8/17/2018 23:00,running
6,August,3,8/17/2018 7:50,8/17/2018 6:50,running
6,August,3,8/17/2018 9:00,8/17/2018 8:00,running
6,August,3,8/17/2018 10:10,8/17/2018 9:10,running
6,August,3,8/17/2018 11:40,8/17/2018 10:40,running
6,August,3,8/17/2018 14:00,8/17/2018 13:00,running
6,August,3,8/17/2018 16:20,8/17/2018 15:20,running
6,August,3,8/17/2018 17:50,8/17/2018 16:50,running
6,August,3,8/17/2018 18:50,8/17/2018 17:50,running
6,August,3,8/17/2018 19:50,8/17/2018 18:50,running
6,August,3,8/17/2018 20:50,8/17/2018 19:50,running
6,August,3,8/17/2018 21:20,8/17/2018 20:50,charging
6,August,3,8/17/2018 23:40,8/17/2018 22:40,running
7,August,3,8/17/2018 8:00,8/17/2018 7:00,running
7,August,3,8/17/2018 9:10,8/17/2018 8:10,running
7,August,3,8/17/2018 10:20,8/17/2018 9:20,running
7,August,3,8/17/2018 12:00,8/17/2018 11:00,running
7,August,3,8/17/2018 14:20,8/17/2018 13:20,running
7,August,3,8/17/2018 16:40,8/17/2018 15:40,running
7,August,3,8/17/2018 18:00,8/17/2018 17:00,running
7,August,3,8/17/2018 19:00,8/17/2018 18:00,running
7,August,3,8/17/2018 20:10,8/17/2018 19:10,running
7,August,3,8/17/2018 21:20,8/17/2018 20:20,running
7,August,3,8/17/2018 23:20,8/17/2018 22:20,running
7,August,3,8/17/2018 23:50,8/17/2018 23:20,charging
1,August,4,8/17/2018 6:22,8/17/2018 6:00,running
1,August,4,8/17/2018 7:22,8/17/2018 7:00,running
1,August,4,8/17/2018 8:22,8/17/2018 8:00,running
1,August,4,8/17/2018 9:22,8/17/2018 9:00,running
1,August,4,8/17/2018 10:22,8/17/2018 10:00,running
1,August,4,8/17/2018 11:52,8/17/2018 11:30,running
1,August,4,8/17/2018 13:22,8/17/2018 13:00,running
1,August,4,8/17/2018 14:52,8/17/2018 14:30,running
1,August,4,8/17/2018 16:22,8/17/2018 16:00,running
1,August,4,8/17/2018 17:22,8/17/2018 17:00,running
1,August,4,8/17/2018 18:22,8/17/2018 18:00,running
1,August,4,8/17/2018 19:22,8/17/2018 19:00,running
1,August,4,8/17/2018 19:52,8/17/2018 19:22,charging
1,August,4,8/17/2018 20:52,8/17/2018 20:30,running
1,August,4,8/17/2018 22:22,8/17/2018 22:00,running
1,August,4,8/17/2018 23:52,8/17/2018 23:30,running
2,August,4,8/17/2018 6:42,8/17/2018 6:20,running
2,August,4,8/17/2018 7:42,8/17/2018 7:20,running
2,August,4,8/17/2018 8:42,8/17/2018 8:20,running
